localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/js/bootstrap.min.js HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:33] "GET /BBSS/resources/js/jquery.min.js HTTP/1.1" 304 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:39:56] "POST /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/register" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:48:58] "GET /BBSS/register HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=eo4fxvm9wnm4gj64pnas4at0"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:02] "GET /BBSS/addClassify HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:03] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addClassify" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:06] "POST /BBSS/addClassify HTTP/1.1" 200 - "http://localhost:8081/BBSS/addClassify" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:07] "GET /BBSS/addClassify HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:09] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:09] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 14:49:19] "POST /BBSS/addBook HTTP/1.1" 500 8187 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36" "JSESSIONID=9gy9twx7lkwo1v7i27oh1stpo"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:12] "GET / HTTP/1.1" 404 612 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" -
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:13] "GET /BBSS HTTP/1.1" 302 - "http://localhost:8081/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" -
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:13] "GET /BBSS/ HTTP/1.1" 200 - "http://localhost:8081/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" -
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/addPicture HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/resources/css/bootstrap.min.css HTTP/1.1" 200 122544 "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/resources/js/jquery.min.js HTTP/1.1" 200 84349 "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/resources/js/bootstrap.min.js HTTP/1.1" 200 36822 "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/resources/Font-Awesome/css/font-awesome.min.css HTTP/1.1" 200 22487 "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:16] "GET /BBSS/resources/js/jquery.validate.min.js HTTP/1.1" 200 21093 "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:41] "POST /BBSS/addPicture HTTP/1.1" 200 - "http://localhost:8081/BBSS/addPicture" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:42] "GET /BBSS/addPicture HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:45] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:53:46] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 22:54:04] "POST /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:02:49] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=p4gm9hafq9ap13v2dccrgaubq"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:01] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
